sample_index,P,K,Mg,pH
776,48.0,261.0,170.0,6.8
777,82.3,255.0,182.0,6.8
778,37.1,194.0,141.0,7.2
779,63.2,241.0,114.0,7.0
780,51.5,242.0,156.0,6.7
781,59.7,238.0,185.0,6.7
782,62.9,269.0,158.0,6.5
783,45.6,254.0,160.0,6.6
784,47.3,270.0,182.0,6.8
785,67.0,320.0,162.0,6.9
786,52.8,308.0,158.0,6.9
787,79.0,298.0,160.0,7.0
788,67.3,243.0,186.0,6.8
789,61.2,271.0,174.0,6.8
790,70.0,283.0,200.0,6.6
791,73.4,258.0,182.0,6.4
792,81.9,246.0,173.0,6.4
793,84.8,283.0,158.0,6.6
794,48.6,240.0,174.0,6.8
795,53.4,277.0,176.0,7.1
796,57.1,269.0,173.0,6.7
797,62.5,235.0,205.0,6.9
798,74.6,234.0,164.0,6.7
799,65.7,224.0,167.0,6.6
800,61.4,252.0,154.0,6.8
801,51.7,253.0,167.0,6.8
802,48.3,252.0,197.0,6.9
803,58.3,287.0,191.0,6.7
804,55.1,267.0,185.0,6.6
805,82.0,229.0,156.0,6.3
806,72.3,210.0,168.0,6.3
807,64.1,200.0,156.0,6.6
808,71.0,248.0,146.0,6.7
809,51.3,225.0,150.0,6.8
810,52.4,236.0,168.0,6.8
811,54.0,433.0,155.0,6.9
812,41.0,293.0,132.0,6.8
813,54.8,288.0,142.0,7.0
814,98.9,249.0,138.0,6.6
815,82.8,214.0,131.0,6.4
816,75.8,218.0,130.0,6.5
817,51.8,177.0,126.0,6.8
818,72.7,187.0,154.0,6.6
819,111.0,425.0,197.0,7.7
820,108.0,454.0,163.0,7.7
821,59.4,277.0,110.0,6.8
822,44.8,233.0,119.0,7.1
823,67.4,211.0,139.0,6.9
824,80.2,272.0,120.0,6.6
825,85.5,265.0,112.0,6.6
826,71.8,287.0,112.0,6.7
827,48.4,233.0,109.0,6.7
828,64.3,217.0,109.0,6.6
829,89.9,182.0,131.0,6.6
830,67.0,177.0,117.0,6.5
831,67.4,227.0,100.0,6.5
832,68.4,211.0,128.0,6.6
833,71.5,167.0,124.0,6.9
834,77.5,173.0,131.0,6.6
835,105.0,250.0,115.0,6.2
836,74.5,243.0,137.0,6.7
837,64.5,199.0,134.0,6.7
838,67.9,265.0,156.0,6.5
839,63.8,316.0,161.0,6.4
840,69.5,286.0,165.0,6.5
841,79.1,277.0,160.0,6.6
842,74.3,266.0,172.0,6.5
843,72.7,261.0,164.0,6.6
844,74.1,247.0,151.0,6.4
845,97.6,182.0,127.0,6.2
846,103.0,225.0,141.0,6.2
847,115.0,297.0,150.0,6.3
848,117.0,382.0,135.0,7.2
849,112.0,382.0,133.0,7.3
850,92.1,300.0,143.0,7.0
851,62.8,170.0,148.0,6.6
852,72.4,163.0,139.0,6.6
853,108.0,236.0,148.0,6.5
854,113.0,320.0,160.0,6.7
855,68.7,223.0,130.0,7.0
856,73.0,225.0,130.0,7.1
857,68.7,230.0,147.0,7.0
858,80.8,236.0,153.0,6.9
859,115.0,318.0,164.0,6.9
860,87.2,254.0,148.0,6.9
861,60.2,194.0,177.0,6.1
862,109.0,113.0,130.0,6.6
863,130.0,131.0,134.0,6.6
864,94.9,353.0,166.0,6.8
865,199.0,361.0,166.0,6.7
866,80.4,284.0,169.0,6.8
867,88.6,472.0,177.0,6.8
868,96.1,300.0,148.0,6.9
869,79.0,252.0,147.0,6.8
870,75.7,268.0,144.0,6.8
871,71.9,243.0,143.0,6.8
872,81.0,233.0,171.0,6.8
873,102.0,363.0,179.0,6.6
874,92.7,336.0,179.0,6.7
875,81.2,237.0,167.0,6.8
876,70.3,233.0,158.0,6.8
877,109.0,353.0,166.0,6.9
878,133.0,317.0,160.0,6.9
879,100.0,224.0,138.0,6.7
880,88.2,201.0,138.0,6.6
881,70.7,179.0,143.0,6.8
882,77.2,215.0,145.0,6.9
883,61.0,143.0,137.0,6.9
884,95.7,235.0,145.0,6.9
885,89.6,197.0,140.0,6.7
886,91.1,206.0,141.0,6.7
887,65.0,145.0,125.0,6.8
888,53.2,127.0,132.0,6.9
889,35.0,169.0,142.0,7.0
890,46.5,146.0,116.0,6.9
891,54.1,161.0,109.0,6.9
892,43.8,138.0,111.0,6.8
893,43.0,144.0,119.0,6.5
894,37.5,149.0,138.0,6.7
895,35.5,132.0,120.0,6.8
896,45.0,167.0,125.0,6.7
897,65.1,258.0,108.0,6.8
898,82.0,277.0,99.0,6.8
899,60.8,223.0,95.8,6.7
900,83.2,126.0,118.0,6.6
901,78.2,262.0,140.0,6.7
902,73.5,253.0,139.0,6.8
903,72.1,240.0,135.0,6.7
904,116.0,313.0,104.0,7.4
905,100.0,314.0,104.0,7.4
906,115.0,331.0,132.0,7.0
907,87.0,242.0,133.0,6.9
908,77.0,229.0,128.0,6.9
909,69.8,195.0,133.0,6.8
910,63.8,187.0,145.0,6.8
911,62.0,171.0,137.0,6.9
912,74.1,186.0,130.0,6.7
913,80.7,189.0,129.0,6.6
914,77.4,203.0,137.0,6.6
915,81.8,197.0,128.0,6.9
916,91.7,247.0,145.0,6.8
917,88.6,243.0,110.0,6.8
918,64.2,161.0,112.0,6.9
919,63.3,172.0,114.0,6.8
920,86.4,164.0,123.0,6.7
921,70.4,147.0,121.0,6.7
922,81.0,161.0,125.0,6.7
923,68.2,184.0,122.0,6.9
924,57.9,213.0,128.0,7.0
925,74.7,216.0,131.0,6.8
926,132.0,525.0,156.0,7.0
927,155.0,536.0,145.0,6.9
928,110.0,389.0,117.0,6.7
929,77.4,228.0,115.0,6.7
930,60.5,244.0,121.0,6.6
931,67.6,236.0,120.0,6.6
932,52.6,216.0,124.0,6.7
933,66.1,203.0,131.0,6.8
934,72.3,247.0,133.0,6.7
935,65.0,198.0,131.0,6.9
936,71.7,196.0,114.0,6.8
937,81.0,187.0,118.0,6.6
938,90.2,209.0,123.0,6.9
939,111.0,429.0,140.0,7.3
940,82.0,308.0,125.0,6.8
941,73.4,271.0,130.0,6.8
942,68.8,249.0,126.0,6.7
943,66.1,264.0,114.0,6.7
944,56.2,244.0,115.0,6.9
945,70.0,254.0,126.0,6.6
946,74.0,244.0,135.0,6.6
947,66.4,226.0,131.0,6.7
948,68.9,182.0,117.0,6.9
949,87.5,243.0,132.0,6.6
950,84.8,192.0,121.0,6.6
951,86.2,242.0,125.0,6.8
952,92.1,339.0,113.0,7.3
953,137.0,510.0,126.0,7.4
954,73.0,244.0,127.0,6.4
955,70.9,188.0,119.0,6.7
956,74.5,235.0,117.0,6.7
957,56.6,213.0,110.0,6.6
958,72.6,193.0,118.0,6.7
959,75.9,211.0,114.0,6.7
960,60.6,192.0,135.0,6.7
961,54.4,224.0,127.0,6.4
962,53.2,200.0,122.0,6.4
963,94.8,247.0,131.0,6.6
964,104.0,252.0,133.0,6.6
965,124.0,337.0,119.0,7.3
966,90.0,254.0,115.0,6.9
967,66.0,225.0,114.0,6.6
968,61.6,239.0,102.0,6.8
969,60.3,238.0,110.0,7.0
970,62.8,252.0,114.0,6.8
971,64.4,217.0,118.0,6.7
972,66.7,212.0,140.0,6.4
973,50.3,207.0,127.0,6.7
974,63.3,221.0,141.0,6.6
975,66.7,233.0,160.0,6.5
976,82.0,237.0,153.0,6.6
977,143.0,412.0,172.0,6.8
978,83.3,297.0,146.0,6.7
979,69.9,235.0,146.0,6.7
980,61.5,227.0,148.0,6.6
981,75.7,274.0,147.0,6.7
982,57.0,206.0,149.0,6.6
983,62.6,275.0,148.0,6.9
984,64.5,309.0,156.0,6.8
985,66.2,268.0,152.0,6.9
986,56.7,204.0,152.0,6.7
987,62.4,270.0,162.0,6.8
988,71.3,262.0,155.0,6.7
989,106.0,363.0,189.0,6.9
990,115.0,387.0,194.0,7.1
991,124.0,377.0,159.0,7.0
992,98.0,269.0,144.0,6.9
993,73.0,203.0,137.0,6.8
994,49.7,204.0,145.0,6.7
995,63.9,250.0,135.0,6.8
996,63.6,264.0,134.0,6.8
997,67.6,283.0,157.0,6.8
998,67.3,307.0,177.0,6.6
999,83.6,385.0,167.0,6.7
1000,78.1,266.0,123.0,6.7
1001,68.8,213.0,123.0,6.5
1002,58.3,164.0,117.0,6.4
1003,52.2,159.0,114.0,6.5
1004,53.5,184.0,118.0,6.4
1005,56.6,192.0,107.0,6.7
1006,58.2,186.0,101.0,6.9
1007,86.6,295.0,146.0,6.6
1008,173.0,301.0,135.0,6.8
1009,127.0,248.0,136.0,6.8
1010,106.0,220.0,126.0,6.8
1011,77.5,231.0,125.0,6.7
1012,63.2,206.0,121.0,6.6
1013,69.2,222.0,106.0,6.5
1014,59.1,248.0,104.0,6.9
1015,55.2,217.0,171.0,6.9
1016,60.7,188.0,133.0,6.8
1017,69.1,209.0,136.0,6.9
1018,49.6,212.0,125.0,6.8
1019,51.3,207.0,138.0,6.8
1020,65.2,205.0,109.0,6.7
1021,55.9,227.0,103.0,7.0
1022,52.4,217.0,174.0,7.3
1023,49.6,239.0,161.0,7.0
1024,61.9,255.0,137.0,7.0
1025,112.0,402.0,146.0,7.1
1026,66.8,192.0,138.0,7.1
1027,59.3,183.0,107.0,6.9
1028,45.3,165.0,104.0,7.2
1029,65.0,230.0,118.0,7.2
1030,62.7,231.0,145.0,6.9
1031,59.9,195.0,125.0,6.9
1032,75.3,240.0,159.0,7.0
1033,60.1,187.0,154.0,6.8
1034,57.0,169.0,159.0,6.8
1035,49.2,160.0,138.0,7.0
1036,74.7,233.0,138.0,7.1
1037,66.6,201.0,128.0,7.1
1038,61.0,166.0,127.0,7.0
1039,122.0,562.0,182.0,7.3
1040,82.3,346.0,164.0,7.2
1041,64.6,183.0,148.0,6.9
1042,53.8,175.0,154.0,6.7
1043,58.4,177.0,152.0,6.8
1044,60.7,208.0,161.0,6.8
1045,60.0,200.0,161.0,6.8
1046,62.3,235.0,155.0,6.8
1047,54.2,177.0,149.0,6.8
1048,69.8,262.0,137.0,6.9
1049,84.4,232.0,154.0,7.0
1050,80.3,157.0,149.0,6.9
1051,77.6,195.0,157.0,6.8
1052,70.1,215.0,151.0,6.9
1053,68.6,184.0,139.0,6.9
1054,60.7,158.0,131.0,7.0
1055,60.3,157.0,128.0,6.9
1056,53.2,161.0,129.0,6.9
1057,105.0,334.0,147.0,7.1
1058,75.5,228.0,149.0,6.8
1059,58.9,219.0,127.0,6.7
1060,65.3,239.0,119.0,7.0
1061,64.3,246.0,144.0,6.9
1062,65.6,216.0,141.0,6.9
1063,74.9,202.0,129.0,7.0
1064,141.0,437.0,141.0,7.2
1065,117.0,423.0,146.0,7.2
1066,94.3,327.0,145.0,7.0
1067,54.3,178.0,130.0,6.9
1068,53.1,153.0,116.0,7.0
1069,60.5,155.0,113.0,7.0
1070,65.3,190.0,114.0,7.1
1071,73.2,21.1,125.0,7.0
1072,78.9,233.0,136.0,7.0
1073,101.0,309.0,152.0,7.0
1074,81.9,263.0,152.0,6.9
1075,70.1,230.0,158.0,6.8
1076,56.1,182.0,139.0,6.8
1077,50.8,182.0,138.0,7.0
1078,53.8,171.0,139.0,7.0
1079,63.1,160.0,125.0,6.9
1080,78.8,247.0,128.0,7.0
1081,150.0,421.0,198.0,7.8
1082,87.5,191.0,144.0,6.9
1083,82.7,210.0,133.0,6.9
1084,43.7,146.0,191.0,6.8
1085,51.6,208.0,222.0,6.9
1086,54.9,144.0,178.0,6.7
1087,112.0,186.0,159.0,7.0
1088,120.0,132.0,98.1,6.8
1089,64.7,464.0,176.0,6.7
1090,89.7,201.0,134.0,6.5
1091,74.9,429.0,217.0,6.6
1092,163.0,549.0,195.0,6.7
1093,61.3,244.0,167.0,6.4
1094,67.5,344.0,168.0,6.7
1095,65.0,390.0,195.0,6.6
1096,67.5,360.0,177.0,6.6
1097,76.1,343.0,142.0,7.2
1098,75.5,312.0,139.0,6.6
1099,77.9,297.0,169.0,6.2
1100,102.0,338.0,157.0,6.2
1101,94.4,323.0,160.0,6.7
1102,67.5,260.0,165.0,6.7
1103,90.2,316.0,141.0,6.7
1104,133.0,366.0,154.0,6.6
1105,79.2,269.0,167.0,6.7
1106,127.0,268.0,160.0,7.0
1107,95.4,235.0,177.0,6.2
1108,72.4,221.0,268.0,6.3
1109,79.1,256.0,189.0,6.5
1110,136.0,272.0,148.0,6.3
1111,74.6,290.0,139.0,6.7
1112,67.2,274.0,187.0,6.6
1113,80.5,278.0,155.0,6.5
1114,83.8,272.0,139.0,6.4
1115,58.6,258.0,160.0,6.4
1116,61.0,254.0,171.0,6.5
1117,68.3,280.0,156.0,6.8
1118,61.0,251.0,142.0,6.7
1119,90.4,271.0,151.0,6.4
1120,102.0,223.0,150.0,6.8
1121,70.8,243.0,184.0,6.3
1122,73.3,256.0,201.0,6.5
1123,85.0,208.0,187.0,6.6
1124,72.8,228.0,196.0,6.6
1125,56.5,257.0,214.0,6.4
1126,59.9,365.0,204.0,6.3
1127,58.9,277.0,206.0,6.4
1128,34.7,258.0,209.0,6.2
1129,57.6,234.0,167.0,6.4
1130,38.8,214.0,150.0,6.4
1131,57.8,212.0,149.0,6.4
1132,62.5,246.0,163.0,6.4
1133,59.2,253.0,135.0,6.7
1134,106.0,255.0,162.0,6.4
1135,83.4,236.0,173.0,6.6
1136,49.5,180.0,177.0,6.2
1137,29.5,196.0,176.0,6.1
1138,35.5,163.0,166.0,6.4
1139,32.8,159.0,180.0,6.4
1140,37.1,240.0,202.0,6.5
1141,36.4,159.0,168.0,6.6
1142,52.1,230.0,125.0,6.6
1143,57.0,273.0,124.0,6.7
1144,51.0,282.0,142.0,6.6
1145,43.6,233.0,174.0,6.3
1146,75.0,197.0,157.0,6.5
1147,35.4,161.0,153.0,6.4
1148,31.5,222.0,174.0,6.4
1149,62.8,230.0,168.0,6.6
1150,57.5,232.0,150.0,6.9
1151,88.4,436.0,177.0,6.9
1152,74.3,380.0,173.0,6.9
1153,63.4,316.0,207.0,6.9
1154,66.7,318.0,200.0,6.5
1155,66.4,302.0,241.0,6.7
1156,51.4,250.0,202.0,6.7
1157,54.6,228.0,199.0,6.7
1158,55.1,244.0,225.0,6.7
1159,77.8,204.0,217.0,6.7
1160,94.3,193.0,208.0,6.7
1161,60.1,261.0,191.0,6.8
1162,71.9,279.0,195.0,6.8
1163,124.0,482.0,213.0,6.8
1164,75.3,327.0,164.0,6.5
1165,71.3,324.0,167.0,6.5
1166,81.4,343.0,149.0,6.4
1167,96.2,309.0,183.0,6.2
1168,87.7,341.0,193.0,6.4
1169,95.6,265.0,208.0,6.5
1170,72.3,282.0,216.0,6.7
1171,81.4,315.0,203.0,6.4
1172,82.1,221.0,216.0,6.6
1173,78.0,298.0,174.0,6.4
1174,37.8,212.0,146.0,7.0
1175,32.5,287.0,217.0,6.9
1176,36.7,333.0,209.0,6.6
1177,56.6,280.0,154.0,7.2
1178,50.8,280.0,163.0,6.6
1179,60.6,322.0,150.0,7.0
1180,82.9,267.0,159.0,6.5
1181,99.5,230.0,150.0,6.7
1182,107.0,339.0,160.0,6.6
1183,61.7,269.0,156.0,6.7
1184,53.5,298.0,166.0,6.8
1185,50.7,253.0,135.0,6.6
1186,114.0,401.0,145.0,6.7
1187,76.6,263.0,170.0,6.6
1188,59.1,235.0,168.0,6.8
1189,59.7,230.0,202.0,6.7
1190,87.2,284.0,163.0,6.6
1191,63.5,244.0,158.0,6.6
1192,51.6,189.0,147.0,6.4
1193,51.3,282.0,173.0,6.6
1194,254.0,223.0,169.0,5.9
1195,42.3,175.0,156.0,6.3
1196,49.5,201.0,230.0,6.3
1197,51.2,190.0,188.0,6.7
1198,45.7,224.0,221.0,6.7
1199,49.5,219.0,209.0,6.7
1200,67.0,327.0,206.0,7.4
1201,63.0,350.0,212.0,6.9
1202,75.0,192.0,158.0,6.6
1203,86.0,310.0,234.0,6.8
1204,47.8,326.0,261.0,6.6
1205,61.6,312.0,218.0,6.5
1206,80.3,325.0,217.0,6.6
1207,66.5,298.0,210.0,6.9
1208,63.8,259.0,201.0,6.5
1209,57.9,286.0,212.0,6.5
1210,70.8,308.0,194.0,6.8
1211,103.0,323.0,209.0,6.6
1212,83.9,319.0,204.0,6.4
1213,127.0,386.0,205.0,7.0
1214,208.0,292.0,208.0,6.6
1215,135.0,278.0,164.0,5.9
1216,89.7,298.0,195.0,6.1
1217,83.5,258.0,138.0,6.1
1218,101.0,231.0,122.0,6.3
1219,65.1,191.0,147.0,6.7
1220,65.4,204.0,171.0,6.4
1221,63.7,265.0,187.0,6.6
1222,57.2,244.0,160.0,6.6
1223,64.7,285.0,174.0,6.9
1224,70.2,244.0,149.0,6.7
1225,69.6,269.0,150.0,6.6
1226,66.9,272.0,170.0,6.9
1227,65.4,265.0,166.0,6.8
1228,59.3,264.0,178.0,6.8
1229,58.6,246.0,182.0,6.8
1230,55.4,285.0,175.0,6.8
1231,86.4,309.0,179.0,6.7
1232,83.8,378.0,160.0,7.0
1233,80.4,376.0,161.0,7.5
1234,87.2,285.0,154.0,6.8
1235,93.6,296.0,153.0,6.7
1236,91.9,276.0,145.0,6.6
1237,99.5,410.0,148.0,7.3
1238,89.0,236.0,146.0,7.0
1239,96.7,231.0,175.0,6.8
1240,103.0,252.0,163.0,6.8
1241,50.8,253.0,150.0,6.7
1242,125.0,256.0,155.0,7.0
1243,83.2,211.0,148.0,6.7
1244,58.5,181.0,179.0,6.7
1245,46.1,157.0,181.0,6.6
1246,60.3,155.0,172.0,6.9
1247,43.8,164.0,147.0,6.7
1248,66.6,159.0,150.0,6.4
1249,46.7,183.0,165.0,6.6
1250,34.0,198.0,179.0,6.8
1251,27.8,194.0,193.0,6.5
1252,26.7,150.0,216.0,6.7
1253,25.2,161.0,244.0,6.5
1254,31.6,185.0,255.0,6.4
1255,47.3,194.0,244.0,6.2
1256,50.6,184.0,212.0,5.8
1257,31.9,176.0,262.0,6.2
1258,47.2,171.0,227.0,6.6
1259,33.2,186.0,203.0,6.6
1260,35.6,201.0,209.0,6.5
1261,37.7,177.0,200.0,6.5
1262,49.1,180.0,199.0,6.3
1263,47.4,270.0,172.0,6.2
1264,31.8,205.0,170.0,6.8
1265,33.6,203.0,196.0,6.2
1266,28.6,224.0,186.0,6.6
1267,25.0,248.0,171.0,6.7
1268,27.8,237.0,173.0,6.9
1269,37.6,230.0,189.0,6.9
1270,49.5,225.0,163.0,6.4
1271,33.7,195.0,172.0,7.0
1272,50.9,246.0,194.0,6.8
1273,78.5,271.0,184.0,6.8
1274,39.7,199.0,208.0,6.6
1275,91.1,267.0,128.0,6.5
1276,56.8,188.0,227.0,6.8
1277,64.3,225.0,192.0,6.7
1278,51.4,225.0,178.0,6.5
1279,53.6,236.0,175.0,6.5
1280,55.3,231.0,157.0,6.6
1281,51.9,201.0,157.0,6.6
1282,57.8,211.0,170.0,6.6
1283,76.6,286.0,162.0,6.4
1284,56.4,213.0,154.0,6.7
1285,51.8,186.0,159.0,6.6
1286,48.8,176.0,161.0,6.6
1287,59.7,189.0,159.0,6.4
1288,53.5,190.0,164.0,6.5
1289,54.7,188.0,169.0,6.6
1290,50.1,183.0,176.0,6.4
1291,56.3,179.0,155.0,6.4
1292,44.7,180.0,180.0,6.5
1293,54.3,172.0,175.0,6.5
1294,57.8,181.0,158.0,6.5
1295,52.0,182.0,149.0,6.6
1296,75.8,180.0,148.0,6.8
1297,84.7,171.0,171.0,6.4
1298,76.0,174.0,159.0,6.3
1299,80.8,193.0,153.0,6.3
1300,79.0,189.0,165.0,6.3
1301,67.3,157.0,159.0,6.3
1302,87.5,166.0,147.0,6.4
1303,87.9,174.0,157.0,6.4
1304,70.5,185.0,162.0,6.4
1305,99.1,210.0,152.0,6.2
1306,81.0,196.0,147.0,6.6
1307,76.9,198.0,145.0,6.6
1308,98.5,261.0,125.0,6.6
1309,94.8,244.0,127.0,6.8
1310,99.4,217.0,134.0,6.8
1311,99.5,209.0,127.0,6.8
1312,111.0,494.0,149.0,7.2
1313,110.0,449.0,154.0,7.2
1314,80.8,347.0,164.0,7.0
1315,55.0,282.0,166.0,6.9
1316,48.8,282.0,164.0,6.9
1317,66.0,284.0,170.0,6.9
1318,76.0,346.0,150.0,7.1
1319,97.9,408.0,158.0,7.0
1320,70.5,365.0,172.0,6.9
1321,88.6,286.0,125.0,7.1
1322,89.2,265.0,149.0,7.0
1323,57.7,266.0,176.0,6.9
1324,80.2,297.0,167.0,6.9
1325,84.8,307.0,166.0,6.9
1326,73.2,284.0,155.0,6.9
1327,77.5,292.0,160.0,6.9
1328,81.1,283.0,171.0,6.8
1329,76.7,270.0,172.0,6.7
1330,58.6,251.0,163.0,7.0
1331,62.9,295.0,173.0,7.2
1332,57.1,266.0,177.0,6.8
1333,50.6,210.0,190.0,6.5
1334,47.6,210.0,195.0,6.5
1335,55.4,215.0,203.0,6.5
1336,51.2,171.0,204.0,6.3
1337,49.4,199.0,173.0,7.1
1338,46.7,189.0,181.0,7.1
1339,67.3,208.0,158.0,6.8
1340,87.4,241.0,172.0,6.6
1341,76.5,251.0,187.0,6.5
1342,121.0,221.0,201.0,6.4
1343,189.0,248.0,197.0,6.5
1344,118.0,252.0,185.0,6.8
1345,83.2,263.0,167.0,6.9
1346,84.8,227.0,156.0,6.6
1347,69.3,232.0,150.0,6.5
1348,61.4,222.0,159.0,6.5
1349,52.9,199.0,152.0,6.5
1350,50.7,188.0,164.0,6.4
1351,72.7,232.0,152.0,6.4
1352,72.9,216.0,139.0,6.6
1353,87.2,223.0,139.0,6.7
1354,99.0,283.0,153.0,6.7
1355,79.6,223.0,162.0,6.9
1356,78.6,252.0,158.0,6.8
1357,77.8,268.0,149.0,6.8
1358,71.4,255.0,150.0,7.0
1359,83.7,281.0,137.0,7.3
1360,89.3,317.0,131.0,7.1
1361,83.5,308.0,131.0,6.9
1362,73.3,263.0,134.0,6.8
1363,85.9,211.0,139.0,6.9
1364,120.0,354.0,149.0,7.3
1365,104.0,377.0,150.0,7.4
1366,77.5,326.0,137.0,7.2
1367,68.8,301.0,131.0,6.8
1368,59.6,336.0,155.0,6.7
1369,119.0,386.0,152.0,7.4
1370,73.1,214.0,128.0,6.9
1371,65.1,238.0,157.0,6.7
1372,72.1,206.0,151.0,6.7
1373,71.6,193.0,143.0,6.7
1374,68.0,206.0,142.0,6.8
1375,61.0,193.0,161.0,7.0
1376,84.8,319.0,161.0,7.1
1377,86.1,303.0,161.0,7.1
1378,73.0,237.0,164.0,6.9
1379,80.3,236.0,157.0,6.8
1380,101.0,282.0,177.0,7.3
1381,133.0,272.0,187.0,7.2
1382,102.0,250.0,201.0,6.7
1383,91.7,238.0,184.0,6.5
1384,87.1,237.0,200.0,6.7
1385,75.9,226.0,207.0,6.7
1386,96.4,298.0,188.0,6.6
1387,92.1,299.0,187.0,6.9
1388,75.1,240.0,207.0,6.9
1389,67.2,227.0,217.0,6.9
1390,77.2,217.0,217.0,6.8
1391,55.6,204.0,214.0,6.6
1392,43.8,197.0,216.0,6.4
1393,37.3,164.0,225.0,6.4
1394,40.6,173.0,220.0,6.4
1395,42.3,182.0,202.0,6.3
1396,49.2,185.0,200.0,6.4
1397,58.0,219.0,157.0,6.2
1398,45.7,212.0,199.0,6.3
1399,47.9,210.0,213.0,6.3
1400,46.1,234.0,227.0,6.4
1401,72.4,206.0,209.0,6.7
1402,81.6,204.0,198.0,6.8
1403,82.3,231.0,183.0,6.8
1404,80.2,284.0,185.0,6.8
1405,71.1,246.0,187.0,6.7
1406,69.7,218.0,176.0,6.6
1407,60.5,172.0,151.0,6.7
1408,74.5,173.0,180.0,6.6
1409,57.6,136.0,174.0,6.8
1410,66.1,192.0,165.0,6.6
1411,87.2,206.0,209.0,6.5
1412,100.0,242.0,194.0,6.8
1413,92.0,258.0,189.0,6.7
1414,62.2,272.0,192.0,6.5
1415,58.7,302.0,168.0,6.6
1416,59.8,296.0,158.0,6.6
1417,79.1,356.0,161.0,6.7
1418,73.4,319.0,149.0,6.6
1419,62.2,273.0,127.0,6.9
1420,81.2,313.0,130.0,6.9
1421,86.6,333.0,133.0,6.9
1422,87.8,360.0,137.0,7.0
1423,81.5,313.0,158.0,6.7
1424,90.1,303.0,152.0,6.7
1425,87.9,284.0,142.0,6.7
1426,77.7,283.0,138.0,6.7
1427,60.6,243.0,161.0,6.6
1428,58.8,230.0,157.0,7.0
1429,61.0,215.0,154.0,6.8
1430,59.8,204.0,152.0,6.8
1431,75.9,196.0,184.0,6.8
1432,81.5,243.0,156.0,6.8
1433,74.6,260.0,173.0,6.8
1434,70.2,270.0,190.0,6.9
1435,66.0,237.0,196.0,6.9
1436,45.1,189.0,207.0,6.9
1437,51.4,233.0,224.0,6.9
1438,62.2,253.0,215.0,6.9
1439,75.3,291.0,187.0,7.2
1440,86.2,325.0,204.0,7.4
1441,47.3,204.0,219.0,7.0
1442,46.0,195.0,201.0,7.0
1443,39.8,213.0,214.0,7.2
1444,49.4,217.0,221.0,7.1
1445,53.2,195.0,216.0,6.9
1446,45.3,212.0,217.0,7.0
1447,46.7,233.0,227.0,7.0
1448,66.2,316.0,167.0,7.0
1449,50.6,267.0,186.0,6.9
1450,65.0,232.0,158.0,6.9
1451,59.1,225.0,153.0,6.8
1452,45.3,212.0,162.0,6.8
1453,41.1,207.0,172.0,6.8
1454,42.0,227.0,189.0,6.7
1455,56.5,198.0,147.0,6.8
1456,58.8,234.0,165.0,6.8
1457,54.8,225.0,154.0,6.7
1458,44.4,183.0,147.0,6.7
1459,54.6,206.0,133.0,6.7
1460,51.7,201.0,129.0,6.8
1461,48.0,179.0,129.0,6.7
1462,36.7,162.0,139.0,6.8
1463,35.5,141.0,158.0,6.9
1464,38.1,140.0,172.0,6.8
1465,40.9,141.0,163.0,6.6
1466,46.9,175.0,177.0,6.6
1467,43.7,135.0,167.0,6.6
1468,51.9,157.0,159.0,6.5
1469,50.7,169.0,164.0,6.6
1470,85.5,258.0,163.0,6.9
1471,65.5,206.0,143.0,6.9
1472,57.1,177.0,161.0,6.6
1473,55.5,191.0,162.0,6.7
1474,70.8,171.0,128.0,6.4
1475,73.5,185.0,136.0,6.6
1476,57.9,190.0,172.0,6.6
1477,70.7,153.0,186.0,6.5
1478,69.2,145.0,179.0,6.5
1479,62.8,131.0,163.0,6.5
1480,57.0,137.0,163.0,6.5
1481,61.1,153.0,131.0,6.6
1482,60.9,167.0,121.0,6.6
1483,55.9,187.0,119.0,6.9
1484,75.8,215.0,168.0,7.0
1485,66.3,188.0,164.0,7.3
1486,55.9,136.0,171.0,6.8
1487,62.8,159.0,155.0,6.7
1488,63.3,165.0,114.0,6.8
1489,51.3,150.0,113.0,6.6
1490,48.7,150.0,123.0,6.6
1491,58.6,163.0,160.0,6.8
1492,60.4,161.0,168.0,6.8
1493,68.3,252.0,189.0,6.9
1494,56.7,209.0,140.0,6.8
1495,40.5,177.0,119.0,6.8
1496,39.9,182.0,141.0,6.8
1497,49.8,168.0,164.0,6.9
1498,43.6,169.0,177.0,6.8
1499,35.9,170.0,182.0,6.7
1500,49.9,175.0,178.0,6.8
1501,35.0,147.0,146.0,6.4
1502,28.3,147.0,144.0,6.4
1503,31.1,157.0,177.0,6.6
1504,35.3,157.0,190.0,6.6
1505,44.7,172.0,176.0,6.6
1506,36.8,163.0,173.0,6.4
1507,39.8,162.0,181.0,6.4
1508,33.1,164.0,182.0,6.3
1509,36.9,147.0,175.0,6.4
1510,41.1,180.0,180.0,6.6
1511,44.2,174.0,188.0,6.7
1512,54.4,181.0,198.0,6.5
1513,55.4,168.0,187.0,6.7
1514,47.8,167.0,191.0,6.7
1515,29.5,164.0,212.0,6.7
1516,29.9,149.0,202.0,6.6
1517,62.5,193.0,167.0,6.8
1518,51.0,175.0,150.0,6.8
1519,42.0,168.0,152.0,6.9
1520,39.1,178.0,140.0,6.6
1521,44.2,202.0,134.0,6.8
1522,40.3,166.0,150.0,6.5
